idade;sexo;p41aa;p41ab;p41ad;p41ae;p41af;p41ag;p41ah;p41ai;p41aj;p41ak;p41al;p41am;p41an;p41ao;p41ap;p42a;p42b;p42d;p42e;p42f;p42g;p42h;p42i;p42j;p42k;p42l;p42m;p42n;p42o;p42p;p43a;p43b;p43d;p43f;p43g;p43h;p43i;p43j;p43k;p43l;p43m;p43n;p43o;p43p;cor;carro;empreg;maqlav;dvd;banhe;gelad;freezer;comput;lavlou;microon;motocic;secadora;agua;rua;escola;renda;RCLASSE2;INV1p45a;INV1p45b;INV1p45c;INV1p45d;INV1p45e;INV1p45f;INV1p45g;INV1p45h;INV1p45i;INV1p45j;INV1p45k;INV1p45l;INV1p45m;INV1p45n;INV1p45o;INV1p45p;INV1p45q
38;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;4;3;3;2;2;1;1;3;2;3;2;2;5;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;1;1;2;1;96;1;96;1;96;96;1;1;2;1;4;5;5;6;5;3;5;5;6;5;5;5;5;2;5;5;5;5
31;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;2;1;6;5;5;5;5;5;5;6;5;6;5;5;6;2;2;6;2;5
22;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;0;10;0;10;5;0;5;5;10;5;5;10;0;5;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;1;1;2;1;1;96;96;96;96;96;1;1;2;1;4;5;6;5;5;5;4;6;6;5;6;5;6;1;4;4;6;1
65;1;1;1;1;2;2;1;2;1;2;2;2;1;1;1;2;7;0;0;0;0;0;0;0;0;0;0;7;0;4;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;96;96;96;96;1;1;96;96;96;96;96;96;1;2;2;1;6;5;6;5;5;2;5;5;5;2;5;5;6;1;2;5;2;2
52;1;1;1;2;2;2;2;2;1;1;2;2;1;2;1;2;4;7;0;0;0;7;0;6;5;0;0;6;0;5;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;2;96;1;1;1;1;96;1;96;96;1;1;2;1;4;5;5;6;5;3;5;5;5;5;5;5;6;3;3;5;5;5
48;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;96;96;96;96;1;1;96;96;96;96;96;96;1;1;2;1;6;5;5;5; ;4;4;6;5;5;5;5;6;5;5;6;4;1
51;1;1;1;2;1;2;2;2;2;1;2;2;1;1;1;2;0;10;0;10;0;0;0;0;0;0;0;10;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;96;1;96;1;1;1;3;1;1;1;1;1;1;2;3;3;5;6;5;5;5;5;6;5;6;5;5;6;1;2;5;4;5
62;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;8;5;1;1;5;6;5;3;7;1;1;7;1;6;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;2;2;1;6;5;5;6;5;5;5;5;5;5;5;5;6;5;5;5;5;5
66;2;1;1;2;1;1;1;1;1;1;2;2;1;1;1;2;0;3;0;0;0;5;0;0;5;0;0;4;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;96;2;1;96;96;96;96;96;96;1;1;2;1;6;5;6;5;4;4;5;5;5;6;5;4;6; ;5;6;4;5
35;2;1;1;1;2;2;2;1;2;2;1;2;1;1;1;2;6;7;9;8;5;3;6;8;8;6;7;8;9;2;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;96;1;96;96;96;96;96;96;1;1;3;1;6;5;5;6;5;5;6;6;5;6;5;5;5;1;6;5;5;1
31;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;96;2;1;96;1;96;96;96;96;2;2;3;99;5;5;5;5;5;5;5;5;6;5;6;5;2;5;2;5;5;2
35;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;7;6;10;10;5;2;5;4;10;0;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;3;99;6;5;6;5;3;3;3;6;6;4;6;4;6;1;6;5;5;3
34;1;1;1;1;1;2;2;2;1;1;2;1;1;1;2;1;4;7;4;10;0;3;1;9;10;8;6;9;5;2;4;2;2;1;2;2;2;2;1;2;2;2;2;2;1;3;96;96;96;1;1;1;96;96;96;96;1;96;1;2;3;1;6;5;5;5;2;5;5;5;5;5;5;5;5;5;5;6;5;2
48;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;2;7;5;4;0;0;4;3;7;6;0;0;3;7;10;10;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;96;96;1;1;1;1;96;1;96;96;2;96;1;1;3;1;5;5;5;6;5;5;5;6;5;6;5;5;5;1;5;5;5;3
